mesh,name,quantity,file_in_zip,proposed_material,source_dimensions_mm,notes
ankle_left,Left ankle,1,rigid/ankle_left.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,39.49 x 36.5 x 25.5,"Reference geometry; validate fit, process, mass and finish."
ankle_right,Right ankle,1,rigid/ankle_right.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,39.49 x 36.5 x 25.5,"Reference geometry; validate fit, process, mass and finish."
banana_pcb_locker,Curved PCB retainer,1,rigid/banana_pcb_locker.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,54.05 x 3.8 x 6.65,"Reference geometry; validate fit, process, mass and finish."
bearing_roll,Roll bearing retainer,2,rigid/bearing_roll.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,23.0 x 3.0 x 40.0,"Reference geometry; validate fit, process, mass and finish."
bottom_head_shell,Lower head shell,1,rigid/bottom_head_shell.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,91.76 x 116.75 x 20.14,"Reference geometry; validate fit, process, mass and finish."
face_part,Face panel,1,rigid/face_part.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,87.65 x 12.5 x 44.63,"Reference geometry; validate fit, process, mass and finish."
foot_left,Left foot,1,rigid/foot_left.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,40.09 x 54.0 x 16.91,"Reference geometry; validate fit, process, mass and finish."
foot_right,Right foot,1,rigid/foot_right.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,40.09 x 54.0 x 16.91,"Reference geometry; validate fit, process, mass and finish."
hip_l,Hip roll link,2,rigid/hip_l.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,32.45 x 34.5 x 19.0,"Reference geometry; validate fit, process, mass and finish."
jaw,Jaw structure,1,rigid/jaw.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,91.42 x 68.71 x 29.45,"Reference geometry; validate fit, process, mass and finish."
jaw_soft,Soft lower beak,1,flexible/jaw_soft.stl,TPU around 95A: proposed,87.67 x 32.23 x 8.44,No validated hardness/friction specification; test material and contact behavior.
left_shell,Left body shell,1,rigid/left_shell.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,33.71 x 80.89 x 41.69,"Reference geometry; validate fit, process, mass and finish."
leg,Lower leg link,2,rigid/leg.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,7.95 x 20.0 x 58.0,"Reference geometry; validate fit, process, mass and finish."
m12_lens_holder,M12 lens holder,1,review-before-order/m12_lens_holder.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,24.0 x 14.8 x 16.0,"HOLD: confirm selected camera, lens thread and whether this part is bought or made."
motor_support,Servo support,1,rigid/motor_support.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,73.5 x 54.2 x 18.8,"Reference geometry; validate fit, process, mass and finish."
neck,Neck root,2,rigid/neck.stl,PA12 MJF/SLS: proposed; PETG fit prototype alternative,2.0 x 20.0 x 11.0,"Reference geometry; validate fit, process, mass and finish."
